,name,point,addr,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
12,서남치과의원,9.8,서울 양천구 신정이펜2로 14,서울 양천구 신정이펜2로 14,126.832427,37.5124686,정좌표,1.14701e+18,새주소,서울특별시 양천구 신정이펜2로 14,서울특별시 양천구 신정동 784,8049.0,1147064000.0,신정3동,1147010100.0,신정동
13,서울완수치과의원,9.8,서울특별시 동대문구 전농로 24,서울특별시 동대문구 전농로 24,127.0569375,37.5669965,정좌표,1.12301e+18,새주소,서울특별시 동대문구 전농로 24,서울특별시 동대문구 답십리동 488-46,2621.0,1123061000.0,답십리2동,1123010500.0,답십리동
14,연세하임치과의원,9.8,서울특별시 송파구 오금로 412 4층 (가락동),서울특별시 송파구 오금로 412 4층 (가락동),127.1356666,37.4973261,정좌표,1.17101e+18,새주소,서울특별시 송파구 오금로 412,서울특별시 송파구 가락동 167-4,5769.0,1171063200.0,가락2동,1171010700.0,가락동
15,서울아람치과의원,9.8,서울특별시 동대문구 왕산로 86,서울특별시 동대문구 왕산로 86,127.0326308,37.5777565,정좌표,1.12301e+18,새주소,서울특별시 동대문구 왕산로 86,서울특별시 동대문구 용두동 104-3,2585.0,1123053600.0,용신동,1123010200.0,용두동
16,더꼼꼼한치과의원,9.8,서울 성북구 동소문로 10,서울 성북구 동소문로 10,127.0073631,37.5887466,정좌표,1.12901e+18,새주소,서울특별시 성북구 동소문로 10,서울특별시 성북구 동소문동2가 11,2860.0,1129055500.0,삼선동,1129010500.0,동소문동2가
17,서울연세감성치과의원,9.8,서울 영등포구 가마산로 480,서울 영등포구 가마산로 480,126.909646,37.505665,정좌표,1.15601e+18,새주소,서울특별시 영등포구 가마산로 480,서울특별시 영등포구 신길동 259-6,7395.0,1156065000.0,신길3동,1156013200.0,신길동
18,바른나무치과의원,9.8,서울특별시 강남구 압구정로 324 3층 (신사동),서울특별시 강남구 압구정로 324 3층 (신사동),127.0370124,37.5284873,정좌표,1.16801e+18,새주소,서울특별시 강남구 압구정로 324,서울특별시 강남구 신사동 660,6018.0,1168054500.0,압구정동,1168010700.0,신사동
19,옥수수치과,9.8,서울 서초구 강남대로 483,서울 서초구 강남대로 483,127.0236582,37.5053378,정좌표,1.16501e+18,새주소,서울특별시 서초구 강남대로 483,서울특별시 서초구 반포동 748-1,6541.0,1165056000.0,반포1동,1165010700.0,반포동
20,미소하임치과의원,9.8,서울특별시 강서구 마곡중앙5로 81,서울특별시 강서구 마곡중앙5로 81,126.8186024,37.5671136,정좌표,1.15001e+18,새주소,서울특별시 강서구 마곡중앙5로 81,서울특별시 강서구 마곡동 739-3,7599.0,1150063000.0,방화1동,1150010500.0,마곡동
21,연세바른치과의원,9.8,서울 노원구 동일로192길 74,서울 노원구 동일로192길 74,127.0770122,37.6271013,정좌표,1.13501e+18,새주소,서울특별시 노원구 동일로192길 74,서울특별시 노원구 공릉동 441-92,1834.0,1135060000.0,공릉2동,1135010300.0,공릉동
22,쉐르빌서울치과의원,9.7," 서울특별시 광진구 구의강변로 106 209호 (구의동, 삼성쉐르빌) ","서울특별시 광진구 구의강변로 106 209호 (구의동, 삼성쉐르빌) ",127.0949267,37.539821,정좌표,1.12151e+18,새주소,서울특별시 광진구 구의강변로 106,서울특별시 광진구 구의동 199-18,5117.0,1121587000.0,구의3동,1121510300.0,구의동
23,서울청춘치과의원,9.7,서울특별시 마포구 포은로 90,서울특별시 마포구 포은로 90,126.9053043,37.5551097,정좌표,1.14401e+18,새주소,서울특별시 마포구 포은로 90,서울특별시 마포구 망원동 403-5,4010.0,1144069000.0,망원1동,1144012300.0,망원동
24,강남샘치과의원,9.7," 서울특별시 강남구 강남대로 242 (도곡동, 크리스탈빌딩 5층) ","서울특별시 강남구 강남대로 242 (도곡동, 크리스탈빌딩 5층) ",127.0340834,37.4853752,정좌표,1.16801e+18,새주소,서울특별시 강남구 강남대로 242,서울특별시 강남구 도곡동 953-3,6267.0,1168065500.0,도곡1동,1168011800.0,도곡동
25,리드치과의원,9.7," 서울특별시 송파구 백제고분로 264 2층 (삼전동, 호수빌딩) ","서울특별시 송파구 백제고분로 264 2층 (삼전동, 호수빌딩) ",127.0956633,37.5022438,정좌표,1.17101e+18,새주소,서울특별시 송파구 백제고분로 264,서울특별시 송파구 삼전동 180-1,5585.0,1171061000.0,삼전동,1171010600.0,삼전동
26,늘봄미소치과의원,9.7,서울 양천구 중앙로 277,서울 양천구 중앙로 277,126.8522616,37.5209345,정좌표,1.14701e+18,새주소,서울특별시 양천구 중앙로 277,서울특별시 양천구 신정동 1190-3,8058.0,1147064000.0,신정3동,1147010100.0,신정동
27,서울란트치과,9.7,서울 영등포구 국제금융로2길 37,서울 영등포구 국제금융로2길 37,126.9242935,37.5229551,정좌표,1.15601e+18,새주소,서울특별시 영등포구 국제금융로2길 37,서울특별시 영등포구 여의도동 26,7327.0,1156054000.0,여의동,1156011000.0,여의도동
28,당산원치과의원,9.7,서울 영등포구 당산로 231,서울 영등포구 당산로 231,126.9018603,37.5345162,정좌표,1.15601e+18,새주소,서울특별시 영등포구 당산로 231,서울특별시 영등포구 당산동6가 304-1,7222.0,1156056000.0,당산2동,1156011600.0,당산동6가
29,상암지앤미치과의원,9.7,서울특별시 마포구 매봉산로 45,서울특별시 마포구 매봉산로 45,126.8908627,37.5765005,정좌표,1.14401e+18,새주소,서울특별시 마포구 매봉산로 45,서울특별시 마포구 상암동 1652,3909.0,1144074000.0,상암동,1144012700.0,상암동
30,사랑가득한치과의원,9.7,서울특별시 광진구 광나루로56길 66 구의현대2단지강변상가 3층,서울특별시 광진구 광나루로56길 66 구의현대2단지강변상가 3층,127.0961628,37.5367849,정좌표,11215.0,새주소,서울특별시 광진구 광나루로56길  66,서울특별시 광진구,,,,,
31,바른치과의원,9.7,서울특별시 성동구 고산자로 203 2층 바른치과의원,서울특별시 성동구 고산자로 203 2층 바른치과의원,127.0337208,37.5582399,정좌표,1.12001e+18,새주소,서울특별시 성동구 고산자로 203,서울특별시 성동구 행당동 319-9,4716.0,1120057000.0,행당2동,1120010700.0,행당동
32,재단법인화강문화재단서울이웃린치과의원,9.6,서울특별시 서대문구 신촌로 13 7층 (창천동),서울특별시 서대문구 신촌로 13 7층 (창천동),126.9286049,37.5584591,정좌표,1.14101e+18,새주소,서울특별시 서대문구 신촌로 13,서울특별시 서대문구 창천동 506-20,3785.0,1141058500.0,신촌동,1141011600.0,창천동
33,서울더원치과의원,9.6,서울 동작구 사당로16길 19,서울 동작구 사당로16길 19,126.973447,37.4825572,정좌표,1.15901e+18,새주소,서울특별시 동작구 사당로16길 19,서울특별시 동작구 사당동 318-75,7011.0,1159065000.0,사당4동,1159010700.0,사당동
34,신세계치과의원,9.6,서울 종로구 송월길 99 경희궁자이 상가2층 2216호,서울 종로구 송월길 99 경희궁자이 상가2층 2216호,126.963765,37.5703152,정좌표,1.11102e+18,새주소,서울특별시 종로구 송월길 99,서울특별시 종로구 홍파동 42-13,3165.0,1111058000.0,교남동,1111017900.0,홍파동
35,공감치과의원,9.6,서울특별시 구로구 디지털로30길 28 302호 (구로동),서울특별시 구로구 디지털로30길 28 302호 (구로동),126.895312,37.4821318,정좌표,1.15301e+18,새주소,서울특별시 구로구 디지털로30길 28,서울특별시 구로구 구로동 222-12,8389.0,1153054000.0,구로3동,1153010200.0,구로동
36,서울하이안치과의원 노원점,9.6,서울특별시 노원구 노해로 490 길빌딩,서울특별시 노원구 노해로 490 길빌딩,127.0624174,37.6544136,정좌표,1.13501e+18,새주소,서울특별시 노원구 노해로 490,서울특별시 노원구 상계동 724-1,1751.0,1135069500.0,상계6.7동,1135010500.0,상계동
37,삼성연세고운미소치과의원,9.6,서울특별시 강남구 테헤란로 513,서울특별시 강남구 테헤란로 513,127.0589016,37.5080117,정좌표,1.16801e+18,새주소,서울특별시 강남구 테헤란로 513,서울특별시 강남구 삼성동 158-23,6169.0,1168058000.0,삼성1동,1168010500.0,삼성동
38,해온미소치과의원,9.6,서울 관악구 남부순환로 1471,서울 관악구 남부순환로 1471,126.9142737,37.4821093,정좌표,1.16201e+18,새주소,서울특별시 관악구 남부순환로 1471,서울특별시 관악구 신림동 538-2,8767.0,1162072500.0,조원동,1162010200.0,신림동
39,제이디치과교정과치과의원,9.6,서울특별시 서초구 강남대로 621,서울특별시 서초구 강남대로 621,127.0187763,37.5171191,정좌표,1.16501e+18,새주소,서울특별시 서초구 강남대로 621,서울특별시 서초구 잠원동 12-25,6524.0,1165054000.0,잠원동,1165010600.0,잠원동
40,아이비서울치과,9.6,서울특별시 강동구 양재대로 1466 3층 (길동),서울특별시 강동구 양재대로 1466 3층 (길동),127.1398848,37.53676,정좌표,1.17401e+18,새주소,서울특별시 강동구 양재대로 1466,서울특별시 강동구 길동 411-1,5352.0,1174068500.0,길동,1174010500.0,길동
41,더푸른치과의원,9.6,서울특별시 강남구 선릉로 517,서울특별시 강남구 선릉로 517,127.0481515,37.505727,정좌표,1.16801e+18,새주소,서울특별시 강남구 선릉로 517,서울특별시 강남구 역삼동 696-43,6149.0,1168064000.0,역삼1동,1168010100.0,역삼동
42,서울사랑치과의원,9.6,서울 은평구 연서로 252,서울 은평구 연서로 252,126.9230744,37.6194625,정좌표,1.13801e+18,새주소,서울특별시 은평구 연서로 252,서울특별시 은평구 불광동 309,3350.0,1138052000.0,불광1동,1138010300.0,불광동
43,서울S치과의원,9.6,서울특별시 마포구 월드컵로13길 8 3층 (망원동),서울특별시 마포구 월드컵로13길 8 3층 (망원동),126.9096853,37.555817,정좌표,1.14401e+18,새주소,서울특별시 마포구 월드컵로13길 8,서울특별시 마포구 망원동 377-4,4012.0,1144069000.0,망원1동,1144012300.0,망원동
44,아트부부치과의원,9.6,서울 서초구 반포대로 38,서울 서초구 반포대로 38,127.0119628,37.4839218,정좌표,1.16501e+18,새주소,서울특별시 서초구 반포대로 38,서울특별시 서초구 서초동 1459-2,6716.0,1165053000.0,서초3동,1165010800.0,서초동
45,가지런S치과의원,9.6," 서울특별시 강서구 화곡로 142 (화곡동, 메가박스) ","서울특별시 강서구 화곡로 142 (화곡동, 메가박스) ",126.8375791,37.5405505,정좌표,1.15001e+18,새주소,서울특별시 강서구 화곡로 142,서울특별시 강서구 화곡동 1073-10,7715.0,1150054000.0,화곡1동,1150010300.0,화곡동
46,강남더블유치과의원,9.6,서울 서초구 강남대로 463 7층,서울 서초구 강남대로 463 7층,127.02443,37.5033979,정좌표,1.16501e+18,새주소,서울특별시 서초구 강남대로 463,서울특별시 서초구 서초동 1303-31,6611.0,1165053100.0,서초4동,1165010800.0,서초동
47,일원사랑치과의원,9.6,서울특별시 강남구 일원로 127,서울특별시 강남구 일원로 127,127.085398,37.4824316,정좌표,1.16801e+18,새주소,서울특별시 강남구 일원로 127,서울특별시 강남구 일원동 735,6361.0,1168072000.0,일원본동,1168011400.0,일원동
48,연세채움치과의원,9.6,서울 동작구 상도로 356,서울 동작구 상도로 356,126.95284,37.496757,정좌표,1.15901e+18,새주소,서울특별시 동작구 상도로 356,서울특별시 동작구 상도동 475-6,7040.0,1159053000.0,상도1동,1159010200.0,상도동
49,인연합치과의원,9.6,서울특별시 노원구 동일로 1669,서울특별시 노원구 동일로 1669,127.0549175,37.6774561,정좌표,1.13501e+18,새주소,서울특별시 노원구 동일로 1669,서울특별시 노원구 상계동 1132-144,1607.0,1135063000.0,상계1동,1135010500.0,상계동
50,연세이좋은치과의원,9.6,서울 영등포구 선유로13길 25,서울 영등포구 선유로13길 25,126.8862735,37.5189805,정좌표,1.15601e+18,새주소,서울특별시 영등포구 선유로13길 25,서울특별시 영등포구 문래동6가 24-1,7282.0,1156060500.0,문래동,1156012400.0,문래동6가
51,서울미담치과의원,9.6,서울특별시 강서구 양천로 66 (방화동),서울특별시 강서구 양천로 66 (방화동),126.8112063,37.5730942,정좌표,1.15001e+18,새주소,서울특별시 강서구 양천로 66,서울특별시 강서구 방화동 567-28,7603.0,1150063000.0,방화1동,1150010900.0,방화동
52,한그루치과병원,9.6,서울특별시 마포구 마포대로 78 자람빌딩,서울특별시 마포구 마포대로 78 자람빌딩,126.9497876,37.5418811,정좌표,1.14401e+18,새주소,서울특별시 마포구 마포대로 78,서울특별시 마포구 도화동 566,4168.0,1144058500.0,도화동,1144010400.0,도화동
53,서울호호치과의원,9.6,서울특별시 서초구 남부순환로347길 13 (서초동),서울특별시 서초구 남부순환로347길 13 (서초동),127.0316804,37.48495,정좌표,1.16501e+18,새주소,서울특별시 서초구 남부순환로347길 13,서울특별시 서초구 서초동 1364-47,6734.0,1165052000.0,서초2동,1165010800.0,서초동
54,독일미치과의원,9.6,서울 강남구 압구정로36길 12 메디컬뱅크 2층 201호,서울 강남구 압구정로36길 12 메디컬뱅크 2층 201호,127.0313436,37.527657,정좌표,1.16801e+18,새주소,서울특별시 강남구 압구정로36길 12,서울특별시 강남구 신사동 620-1,6023.0,1168054500.0,압구정동,1168010700.0,신사동
55,이수백치과의원,9.6,서울특별시 관악구 관악로 233 태경빌딩,서울특별시 관악구 관악로 233 태경빌딩,126.9555527,37.4854909,정좌표,1.16201e+18,새주소,서울특별시 관악구 관악로 233,서울특별시 관악구 봉천동 42-42,8744.0,1162061500.0,중앙동,1162010100.0,봉천동
56,서울수치과의원,9.5,서울특별시 송파구 올림픽로 342 9층 (방이동),서울특별시 송파구 올림픽로 342 9층 (방이동),127.1082949,37.5156844,정좌표,1.17101e+18,새주소,서울특별시 송파구 올림픽로 342,서울특별시 송파구 방이동 23-2,5542.0,1171056200.0,방이2동,1171011100.0,방이동
57,아프지않은행복치과의원,9.5,서울특별시 마포구 독막로 98,서울특별시 마포구 독막로 98,126.9243032,37.5474904,정좌표,1.14401e+18,새주소,서울특별시 마포구 독막로 98,서울특별시 마포구 상수동 396,4075.0,1144065500.0,서강동,1144011500.0,상수동
58,라이프치과의원,9.5,서울 동대문구 이문로 136 2층,서울 동대문구 이문로 136 2층,127.0619731,37.5987082,정좌표,1.12301e+18,새주소,서울특별시 동대문구 이문로 136,서울특별시 동대문구 이문동 292-10,2418.0,1123074000.0,이문1동,1123011000.0,이문동
59,이믿음치과의원,9.5,서울 강남구 테헤란로 216,서울 강남구 테헤란로 216,127.0401307,37.5014451,정좌표,1.16801e+18,새주소,서울특별시 강남구 테헤란로 216,서울특별시 강남구 역삼동 719,6221.0,1168065000.0,역삼2동,1168010100.0,역삼동
60,서울앤치과의원,9.5,서울 영등포구 국제금융로2길 32 여의도파이낸스타워 지하1층,서울 영등포구 국제금융로2길 32 여의도파이낸스타워 지하1층,126.9241331,37.5238817,정좌표,1.15601e+18,새주소,서울특별시 영등포구 국제금융로2길 32,서울특별시 영등포구 여의도동 23-8,7325.0,1156054000.0,여의동,1156011000.0,여의도동
61,백년치과의원,9.5,서울특별시 동대문구 장한로 129 3층 (장안동),서울특별시 동대문구 장한로 129 3층 (장안동),127.0709457,37.5720002,정좌표,1.12301e+18,새주소,서울특별시 동대문구 장한로 129,서울특별시 동대문구 장안동 369-2,2624.0,1123065000.0,장안1동,1123010600.0,장안동
62,이쎈치과의원,9.5,서울 강서구 공항대로 282 현웅빌딩,서울 강서구 공항대로 282 현웅빌딩,126.8386989,37.5580775,정좌표,1.15001e+18,새주소,서울특별시 강서구 공항대로 282,서울특별시 강서구 내발산동 645-3,7646.0,1150061500.0,우장산동,1150010600.0,내발산동
63,엘치과병원,9.5,서울특별시 동대문구 전농로 102 (답십리동),서울특별시 동대문구 전농로 102 (답십리동),127.0578459,37.5739598,정좌표,1.12301e+18,새주소,서울특별시 동대문구 전농로 102,서울특별시 동대문구 답십리동 94-9,2538.0,1123061000.0,답십리2동,1123010500.0,답십리동
64,서울H치과의원,9.5," 서울특별시 노원구 노해로 485 301호 (상계동, 금정빌딩) ","서울특별시 노원구 노해로 485 301호 (상계동, 금정빌딩) ",127.0619356,37.6548783,정좌표,1.13501e+18,새주소,서울특별시 노원구 노해로 485,서울특별시 노원구 상계동 716,1695.0,1135064000.0,상계2동,1135010500.0,상계동
65,광진탑치과의원,9.5,서울특별시 광진구 아차산로 471,서울특별시 광진구 아차산로 471,127.0939467,37.5403901,정좌표,1.12151e+18,새주소,서울특별시 광진구 아차산로 471,서울특별시 광진구 구의동 212-3,5035.0,1121587000.0,구의3동,1121510300.0,구의동
66,하상현치과의원,9.5,서울특별시 서초구 방배로 91,서울특별시 서초구 방배로 91,126.9967182,37.4824327,정좌표,1.16501e+18,새주소,서울특별시 서초구 방배로 91,서울특별시 서초구 방배동 910-11,6686.0,1165060000.0,방배1동,1165010100.0,방배동
67,필립치과의원 압구정점,9.5,서울특별시 강남구 압구정로32길 11,서울특별시 강남구 압구정로32길 11,127.0302665,37.5269543,정좌표,1.16801e+18,새주소,서울특별시 강남구 압구정로32길 11,서울특별시 강남구 신사동 613-5,6022.0,1168054500.0,압구정동,1168010700.0,신사동
68,파크에비뉴치과,9.5,서울특별시 강남구 논현로 562 2층 (역삼동),서울특별시 강남구 논현로 562 2층 (역삼동),127.0348231,37.5060964,정좌표,1.16801e+18,새주소,서울특별시 강남구 논현로 562,서울특별시 강남구 역삼동 659,6136.0,1168064000.0,역삼1동,1168010100.0,역삼동
69,수색연세치과의원,9.5,서울 은평구 은평로 56 동진빌딩 3층,서울 은평구 은평로 56 동진빌딩 3층,126.9141128,37.5985396,정좌표,1.13801e+18,새주소,서울특별시 은평구 은평로 56,서울특별시 은평구 신사동 22-37,3449.0,1138063100.0,신사1동,1138010900.0,신사동
70,연세포시즌치과의원,9.5," 서울특별시 마포구 신촌로 170 302호,303호 (대흥동, 이대역푸르지오시티) ","서울특별시 마포구 신촌로 170 302호,303호 (대흥동, 이대역푸르지오시티) ",126.9443445,37.5563393,정좌표,1.14401e+18,새주소,서울특별시 마포구 신촌로 170,서울특별시 마포구 대흥동 12-27,4104.0,1144060000.0,대흥동,1144010800.0,대흥동
71,디자인치과의원,9.5,서울특별시 노원구 노해로 491,서울특별시 노원구 노해로 491,127.0626476,37.6550371,정좌표,1.13501e+18,새주소,서울특별시 노원구 노해로 491,서울특별시 노원구 상계동 716-3,1695.0,1135064000.0,상계2동,1135010500.0,상계동
72,연세스마일치과의원,9.5,서울특별시 강동구 양재대로 1377 (성내동),서울특별시 강동구 양재대로 1377 (성내동),127.1362717,37.5292279,정좌표,1.17401e+18,새주소,서울특별시 강동구 양재대로 1377,서울특별시 강동구 성내동 415-8,5376.0,1174066000.0,성내3동,1174010800.0,성내동
73,서울화이트치과의원,9.5,서울특별시 송파구 올림픽로35가길 9 (신천동),서울특별시 송파구 올림픽로35가길 9 (신천동),127.1034813,37.5171347,정좌표,1.17101e+18,새주소,서울특별시 송파구 올림픽로35가길 9,서울특별시 송파구 신천동 11-4,5510.0,1171071000.0,잠실6동,1171010200.0,신천동
74,정문성치과의원,9.5,서울특별시 양천구 공항대로 624 (목동),서울특별시 양천구 공항대로 624 (목동),126.8741266,37.5466622,정좌표,1.14701e+18,새주소,서울특별시 양천구 공항대로 624,서울특별시 양천구 목동 514-3,7968.0,1147052000.0,목2동,1147010200.0,목동
75,생생플러스치과의원,9.5,서울특별시 중랑구 망우로 212,서울특별시 중랑구 망우로 212,127.0762355,37.5937298,정좌표,1.12601e+18,새주소,서울특별시 중랑구 망우로 212,서울특별시 중랑구 상봉동 130,2120.0,1126059000.0,상봉2동,1126010200.0,상봉동
76,서울애플민트치과의원,9.5," 서울특별시 마포구 양화로 157 202호 (동교동, 파라다이스텔) ","서울특별시 마포구 양화로 157 202호 (동교동, 파라다이스텔) ",126.9229373,37.5566865,정좌표,1.14401e+18,새주소,서울특별시 마포구 양화로 157,서울특별시 마포구 동교동 159-6,3995.0,1144066000.0,서교동,1144012100.0,동교동
77,사과나무치과의원 강서,9.5," 서울특별시 강서구 강서로 267 501호 (내발산동, 송화쇼핑센터) ","서울특별시 강서구 강서로 267 501호 (내발산동, 송화쇼핑센터) ",126.8359446,37.5496077,정좌표,1.15001e+18,새주소,서울특별시 강서구 강서로 267,서울특별시 강서구 내발산동 719-6,7639.0,1150061100.0,발산1동,1150010600.0,내발산동
78,강남365치과의원 수서점,9.5,서울특별시 강남구 자곡로 201,서울특별시 강남구 자곡로 201,127.1046926,37.47538,정좌표,1.16801e+18,새주소,서울특별시 강남구 자곡로 201,서울특별시 강남구 자곡동 596,6372.0,1168070000.0,세곡동,1168011200.0,자곡동
79,연세하늘치과의원,9.5,서울 동작구 상도로62길 1 3층,서울 동작구 상도로62길 1 3층,126.9545649,37.4947089,정좌표,1.15901e+18,새주소,서울특별시 동작구 상도로62길 1,서울특별시 동작구 상도동 495-4,7040.0,1159053000.0,상도1동,1159010200.0,상도동
80,허니플란트치과의원,9.5,서울 강동구 천호대로 1116,서울 강동구 천호대로 1116,127.1352132,37.5346715,정좌표,1.17401e+18,새주소,서울특별시 강동구 천호대로 1116,서울특별시 강동구 성내동 244,5373.0,1174066000.0,성내3동,1174010800.0,성내동
81,따뜻한치과병원,9.5,서울특별시 동작구 동작대로 13 보광빌딩,서울특별시 동작구 동작대로 13 보광빌딩,126.981257,37.4777861,정좌표,1.15901e+18,새주소,서울특별시 동작구 동작대로 13,서울특별시 동작구 사당동 1042-12,7025.0,1159062000.0,사당1동,1159010700.0,사당동
82,경성길치과의원,9.5,서울특별시 마포구 동교로 207,서울특별시 마포구 동교로 207,126.9232268,37.5585903,정좌표,1.14401e+18,새주소,서울특별시 마포구 동교로 207,서울특별시 마포구 동교동 199-1,3993.0,1144066000.0,서교동,1144012100.0,동교동
83,서울하우치과의원,9.5,서울특별시 용산구 후암로 47,서울특별시 용산구 후암로 47,126.9771278,37.5500683,정좌표,1.11701e+18,새주소,서울특별시 용산구 후암로 47,서울특별시 용산구 후암동 105-3,4332.0,1117051000.0,후암동,1117010100.0,후암동
84,서울나우치과의원,9.5,서울 송파구 백제고분로 387 2층,서울 송파구 백제고분로 387 2층,127.1085283,37.5065224,정좌표,1.17101e+18,새주소,서울특별시 송파구 백제고분로 387,서울특별시 송파구 송파동 19-9,5626.0,1171058000.0,송파1동,1171010400.0,송파동
85,오스톤치과의원,9.5,서울특별시 강서구 강서로56길 16 5층,서울특별시 강서구 강서로56길 16 5층,126.8396063,37.5594109,정좌표,1.15001e+18,새주소,서울특별시 강서구 강서로56길 16,서울특별시 강서구 등촌동 674-3,7591.0,1150053500.0,등촌3동,1150010200.0,등촌동
86,보스톤서울치과의원,9.5,서울특별시 영등포구 당산로44길 3 (당산동5가),서울특별시 영등포구 당산로44길 3 (당산동5가),126.9010725,37.5319138,정좌표,1.15601e+18,새주소,서울특별시 영등포구 당산로44길 3,서울특별시 영등포구 당산동5가 11-34,7214.0,1156056000.0,당산2동,1156011500.0,당산동5가
87,연세고마운 치과의원,9.5,서울 성동구 왕십리로 410 센트라스 L동상가 3층 302호,서울 성동구 왕십리로 410 센트라스 L동상가 3층 302호,127.0267484,37.5660937,정좌표,1.12001e+18,새주소,서울특별시 성동구 왕십리로 410,서울특별시 성동구 하왕십리동 700,4701.0,1120053500.0,왕십리도선동,1120010200.0,하왕십리동
88,이사랑치과의원,9.5,서울 마포구 백범로 205 펜트라우스 상가 105동 B235호,서울 마포구 백범로 205 펜트라우스 상가 105동 B235호,126.9541004,37.5433971,(무료버전 위치정밀도 제한)정좌표,11440.0,새주소,서울특별시 마포구 백범로 205,서울특별시 마포구 신공덕동 172,4194.0,1144056500.0,공덕동,1144010300.0,신공덕동
89,빛치과의원,9.5," 서울특별시 송파구 올림픽로 145 (잠실동, 리센츠상가 4B 19호) ","서울특별시 송파구 올림픽로 145 (잠실동, 리센츠상가 4B 19호) ",127.087051,37.511981,정좌표,1.17101e+18,새주소,서울특별시 송파구 올림픽로 145,서울특별시 송파구 잠실동 22-6,5502.0,1171067000.0,잠실2동,1171010100.0,잠실동
