,name,point,addr
87,연세나루치과,8.9,"서울특별시 광진구 아차산로 502 4층 403호 (광장동, 진넥스오딧세이)"
88,이주석치과의원,8.6,서울 성북구 성북로 5-1
89,미소안치과의원,8.8,서울특별시 관악구 난곡로 360 3층 (신림동)
90,이믿음치과의원,9.5,서울 강남구 테헤란로 216
91,기세호치과의원,8.6,서울특별시 마포구 연희로 39
92,최유석치과의원,8.7,서울특별시 관악구 관천로 17 4층 (신림동)
93,박재필치과의원,8.8,서울특별시 마포구 마포대로4길 18
94,서울스마트치과의원,8.8,서울특별시 성동구 아차산로 92 3층 (성수동2가)
95,서울바른플란트치과의원,9.2,인천광역시 부평구 체육관로 30
96,어린왕자치과의원,8.8,서울특별시 마포구 월드컵로 240
97,정다운치과의원,8.6,"서울특별시 강서구 양천로 401 A418,419호 (가양동, 강서한강자이타워)"
98,이웃사랑치과의원,8.5,서울특별시 구로구 구로중앙로28길 65
99,연세행복치과의원,8.1,서울특별시 마포구 만리재로 27
100,리더스탑치과의원,9.3,서울 금천구 시흥대로 224
101,엘치과병원,9.5,서울특별시 동대문구 전농로 102 (답십리동)
102,강남물방울치과,9.1,"서울특별시 강남구 삼성로 548 5층 (삼성동, SISOMO TOWER)"
103,한빛치과의원,9.2,서울특별시 동작구 여의대방로 142 3층 (대방동)
104,바른약속치과의원 문래역점,8.9,서울특별시 영등포구 당산로 34
105,임프라인치과의원,8.2,"서울특별시 서대문구 신촌로 189 202호 (대현동, 이화인비따레오피스텔)"
106,샤인e치과의원,8.7,"서울특별시 강서구 양천로 492 206호, 207호 (등촌동, 길훈엔트런스빌)"
107,연세좋은이웃치과의원,9.2,서울특별시 동대문구 왕산로 193 4층 (청량리동)
108,강훈치과의원,7.6,서울특별시 관악구 관악로 203 엔젤빌딩
109,서울예안치과의원,9.1,서울특별시 종로구 새문안로 103 선광빌딩
110,예담치과의원,9.1,서울특별시 동대문구 약령시로 3 2층 (제기동)
111,좋은약속치과의원,9.0,경기도 수원시 팔달구 중부대로 247
112,이튼튼치과의원,8.8,서울특별시 구로구 디지털로32가길 25 (구로동)
113,유디치과의원 구로점,8.4,서울특별시 구로구 디지털로31길 38-21 (구로동)
114,따뜻한인치과의원,9.3,"서울특별시 서대문구 연희로 97 3층 (연희동, 신라빌딩)"
115,서울e조은치과의원,9.4,"서울특별시 중구 다산로 111 4층 (신당동, 한미빌딩)"
116,연세한스치과의원,9.3,서울특별시 동대문구 천호대로 133 지하2층 (용두동)
117,필치과의원,8.6,서울특별시 관악구 은천로 95 (봉천동)
118,약수치과의원,9.2,서울특별시 강서구 강서로 300 (내발산동)
119,예지인치과의원,8.8,서울특별시 성북구 동소문로 105 (동선동4가)
120,유디치과의원 신촌점,9.0,서울특별시 마포구 신촌로 150
121,DMC플러스치과의원,9.3,"서울특별시 서대문구 가재울미래로 2 별동상가동 301호 (남가좌동, DMC파크뷰자이)"
122,더마곡치과의원,9.0,서울 강서구 마곡중앙5로 81 SB타워 5층 더마곡치과
123,서울한결치과의원,8.9,서울 마포구 숭문길 58 염리삼성래미안
124,맑은미소치과의원,8.6,서울특별시 금천구 금하로 630
125,김태우치과의원,8.7,서울특별시 강동구 상암로 44 4층 (천호동)
126,유디치과의원 합정점,7.8,서울특별시 마포구 양화로 73
127,서울수치과의원,9.2,"서울특별시 강동구 고덕로 140 (암사동, 프라이어팰리스)"
128,강.임.강.정서울치과의원,8.9,"서울특별시 송파구 올림픽로 119 5층 523, 524호 (잠실동, 파인애플상가)"
129,신세계치과의원,9.6,서울 종로구 송월길 99 경희궁자이 상가2층 2216호
130,원더플란트치과의원 강북점,9.0,서울 강북구 도봉로10길 6
131,서울키즈플러스치과의원,8.8,서울특별시 관악구 관악로 199
132,아프지않은행복치과의원,9.5,서울특별시 마포구 독막로 98
133,꼼꼼한치과의원,9.3,서울특별시 강남구 영동대로86길 11 3층 (대치동)
134,인천W치과의원,8.2,인천 계양구 경명대로 1090 계산메가타운
135,강서메트로치과의원,8.7,서울특별시 강서구 양천로 606 4층 (등촌동)
136,라임나무치과의원,8.0,서울특별시 강남구 테헤란로 203
137,서울미소그린치과의원,9.1,"서울특별시 노원구 동일로203가길 29 242호,243호,244호 (중계동, 브라운스톤)"
138,광진호산나치과의원,8.9,서울특별시 광진구 아차산로 511 3층 (광장동)
139,청담라인치과의원,9.4,"서울특별시 강남구 학동로 433 (청담동, 청담서울클리닉 7층)"
140,에이플러스치과의원 은평점,8.1,서울 은평구 은평로 194
141,서울플란트치과의원,8.8,"서울특별시 중랑구 신내로14길 8 5층 (신내동, 원빌딩)"
142,해온미소치과의원,9.6,서울 관악구 남부순환로 1471
143,허니플란트치과의원,9.5,서울 강동구 천호대로 1116
144,수인치과의원,9.4,"서울특별시 영등포구 국회대로37길 25 301호 (당산동4가, 로얄프라자)"
145,서울순플란트치과의원,9.0,서울특별시 양천구 등촌로 230
146,뉴연세치과의원,9.1,서울특별시 성북구 동소문로 12
147,옥수수치과,9.8,서울 서초구 강남대로 483
148,위드스마일치과의원,9.3,서울 강서구 강서로 42
149,라이프치과의원,9.5,서울 동대문구 이문로 136 2층
150,서울라파치과의원,9.0,"서울특별시 송파구 새말로 62 213호, 214호호 (문정동, 송파 푸르지오시티)"
151,서울앤치과의원,9.5,서울 영등포구 국제금융로2길 32 여의도파이낸스타워 지하1층
152,서울보리치과의원,8.8,서울특별시 영등포구 국제금융로2길 17
153,파미에치과의원,8.6,서울특별시 강서구 화곡로 154
154,시카고치과병원,9.1,인천광역시 부평구 경원대로 1246
155,서울예다운치과의원,9.3,"서울특별시 종로구 성균관로 12 301호 (명륜2가,유니지오빌딩)"
156,나비드치과의원,9.1,서울특별시 중랑구 면목로 289 (면목동)
157,신대방서울하이안치과의원,9.0,"서울특별시 관악구 난곡로 368 3층 (신림동, 송암빌딩)"
158,서울좋은치과의원,9.2,서울특별시 강서구 양천로57길 9-7 (가양동)
159,오리엔탈치과의원,9.1,서울특별시 강남구 선릉로64길 20
160,서울에스치과의원,8.7,서울특별시 광진구 용마산로 5 4층 (중곡동)
161,소명치과의원,9.0,"서울특별시 마포구 서강로 97 408호 (창전동, 삼성아파트상가)"
162,이현아치과의원,9.2,서울특별시 동대문구 사가정로 148 전농 SK아파트
163,친절한임치과,8.7,"서울특별시 마포구 마포대로 195 상가4동 210호 (아현동, 마포래미안푸르지오)"
164,오플란트치과의원 영등포본점,8.4,서울특별시 영등포구 영중로2길 1 (영등포동3가)
165,광화문선치과의원,8.4,서울특별시 중구 세종대로 135-9 3층 (태평로1가)
166,스카이치과의원,8.9,"서울특별시 강남구 테헤란로26길 10 3층 (역삼동, 성보빌딩)"
167,뉴욕탑치과의원,9.0,서울 금천구 가산디지털1로 19 대륭테크노타운18차
168,신한철치과의원,8.9,서울특별시 성동구 마조로 30 3층 (행당동)
169,방배본치과의원,9.4,서울특별시 서초구 동작대로 114 4층 (방배동)
170,드라마치과병원,9.3,경기도 성남시 분당구 정자일로198번길 15
171,유디치과의원 까치산점,8.6,"서울특별시 강서구 강서로 27 301,302호 (화곡동, 화곡심포니타워)"
172,서울더원치과의원,9.6,서울 동작구 사당로16길 19
173,정문섭치과의원,8.7,"서울특별시 서초구 효령로 181 301호 (서초동, 영일빌딩)"
174,연세글로리치과의원,9.4,"서울특별시 성동구 마장로 137 221동 2층 126, 127호 (상왕십리동, 텐즈힐몰)"
175,효치과의원,8.8,"서울특별시 강동구 양재대로 1390 (둔촌동, 신성빌딩)"
176,유아이씨시카고치과의원,9.3,"서울특별시 영등포구 경인로 841 4층 (영등포동4가, 체신빌딩)"
177,서울자연치과의원,9.2,서울특별시 양천구 공항대로 626
178,서울연세감성치과의원,9.8,서울 영등포구 가마산로 480
179,포스유치과의원,9.4,서울 강남구 강남대로 364
180,서울수치과의원,9.5,서울특별시 송파구 올림픽로 342 9층 (방이동)
181,관악웰치과의원,8.6,서울특별시 관악구 신림로 135 육일빌딩
182,덴티스킨치과의원,8.1,서울특별시 영등포구 영중로 59
183,닥터유치과의원,9.2,서울특별시 강남구 학동로 221
184,서울아람치과의원,9.8,서울특별시 동대문구 왕산로 86
185,디자인치과의원,9.1,서울특별시 강남구 학동로55길 12
186,강남365치과의원 수서점,9.5,서울특별시 강남구 자곡로 201
187,조은치과의원,9.4,서울 송파구 백제고분로 378
188,백상치과의원,9.0,"서울특별시 종로구 사직로8길 34 3동 302호 (내수동, 경희궁의아침 3단지오피스텔)"
189,사과나무치과의원 강서,9.5,"서울특별시 강서구 강서로 267 501호 (내발산동, 송화쇼핑센터)"
190,서울제니스치과의원 노원점,9.1,"서울특별시 노원구 노해로 501 6층 601호 (상계동, 노원빌딩)"
191,김성조치과의원,8.9,서울특별시 종로구 대학로 149 3층 (혜화동)
192,마들웰치과의원,8.7,"서울특별시 노원구 동일로 1545 301호 (상계동, 현대골드시티빌딩)"
193,유치과의원,8.5,서울특별시 관악구 남부순환로 1938 성은빌딩
194,다섯가지약속치과의원,8.8,경기도 고양시 덕양구 화중로104번길 30
195,유디치과목동오목교점,8.7,서울특별시 양천구 오목로 326 복지빌딩 4층
196,효치과의원,8.9,서울특별시 중랑구 동일로 917 2층 (묵동)
197,이오치과의원,8.5,"서울특별시 중구 통일로 10 1층 (남대문로5가, 연세세브란스빌딩)"
198,연세홈치과의원,9.3,"서울특별시 송파구 오금로 512 2층 202호 (거여동, 쌍용상가)"
199,서울고치과의원,7.3,서울특별시 동작구 서달로 166
200,예손치과의원,9.4,"서울특별시 중구 퇴계로 222 3층 (필동2가, 구인빌딩)"
201,서울애플민트치과의원,9.5,"서울특별시 마포구 양화로 157 202호 (동교동, 파라다이스텔)"
202,공감치과의원,9.6,서울특별시 구로구 디지털로30길 28 302호 (구로동)
203,정문성치과의원,9.5,서울특별시 양천구 공항대로 624 (목동)
204,연세휴치과의원 청량리점,9.2,서울 동대문구 홍릉로 19 2층
205,연세진치과의원,8.3,서울특별시 강동구 양재대로 1396 원천빌딩
206,강일예스치과의원,8.3,"서울특별시 강동구 아리수로 427 403,404호 (강일동)"
207,서울화이트치과의원,9.5,서울특별시 송파구 올림픽로35가길 9 (신천동)
208,세종치과의원,9.4,부산 수영구 수영로 675 큐비메디컬센터 7층~10층
209,서울유노치과의원,9.2,서울특별시 중랑구 동일로 887
210,서울유노치과의원,9.2,서울특별시 중랑구 동일로 887
211,연세네이처치과의원,8.9,"서울특별시 중구 서소문로 120 5층 (서소문동, ENA빌딩)"
212,연세본치과의원,9.2,"서울특별시 중구 을지로 177 2층, 3층 (을지로4가)"
213,포도나무치과의원,8.9,경기 안산시 단원구 광덕대로 182
214,서울효치과의원,9.1,서울특별시 성북구 보국문로 40-3
215,서울미소그린치과의원,8.8,서울특별시 구로구 구일로10길 27
216,서울필치과의원,8.7,서울특별시 광진구 아차산로 378 4층 (자양동)
217,서울SIC치과의원,8.8,서울특별시 강남구 영동대로 513
218,그루터기치과의원,8.7,"서울특별시 강동구 올림픽로 787 (암사동, 태성프라자)"
219,연세다온치과의원,8.7,서울특별시 관악구 봉천동 1686-21
220,연세크리스마스치과의원,8.5,"서울특별시 양천구 목동동로 260 (목동, 양지타운)"
221,서울하이안치과의원 노원점,9.6,서울특별시 노원구 노해로 490 길빌딩
222,서울파크리오치과의원,8.9,서울 송파구 올림픽로37길 130 파크리오
223,삼성연세고운미소치과의원,9.6,서울특별시 강남구 테헤란로 513
224,미소야치과의원,7.9,서울특별시 은평구 연서로 225 3층 (갈현동)
225,하단부부치과의원,9.6,부산 사하구 낙동남로 1417
226,아이비서울치과,9.6,서울특별시 강동구 양재대로 1466 3층 (길동)
227,연세유라인치과의원 강남역점,8.5,서울 강남구 강남대로 390
228,투데이치과의원,8.1,서울 강남구 테헤란로 146 8층
229,서울예람치과의원,8.7,서울특별시 강북구 도봉로 196
230,지엘지치과의원,8.2,서울시 영등포구 양평로 76 1층 (영등포삼성화재사옥)
231,예본치과의원,9.1,"서울특별시 양천구 목동서로 213 (목동, 세신비젼프라자)"
232,연세오슬로치과의원,7.9,서울특별시 중구 을지로 100 파인에비뉴 B동 401호
233,더푸른치과의원,9.6,서울특별시 강남구 선릉로 517
234,구정치과의원,8.6,서울특별시 강남구 논현로 842
235,서울수치과의원,9.3,서울특별시 서대문구 신촌로35길 10
236,광화문서울치과의원,9.2,"서울특별시 종로구 새문안로5길 31 B103호 (도렴동, 센터포인트)"
237,이철민치과의원,9.2,서울특별시 노원구 동일로 1339
238,서현치과의원,8.5,서울특별시 송파구 올림픽로 289 잠실시그마타워 306호
239,유디치과의원 신림점,7.6,서울 관악구 남부순환로 1631 2층
240,사랑가득한치과의원,9.7,서울특별시 광진구 광나루로56길 66 구의현대2단지강변상가 3층
241,강남푸른치과의원,8.9,서울특별시 강남구 논현로 428 2층 (역삼동)
242,서강박치과의원,8.5,서울 마포구 토정로 195 3층 서강박치과
243,신사이사랑치과의원,8.3,서울 강남구 논현로 607 신양빌딩 3층
244,이근형치과의원,8.0,서울특별시 관악구 봉천로 616
245,서울하이안치과 약수지점,8.8,서울특별시 중구 다산로 130-1 (신당동)
246,홍제탑치과,8.5,서울특별시 서대문구 통일로 448
247,양지바른치과의원,8.7,"서울특별시 서초구 방배로 73 2/5층 (방배동, 양지빌딩)"
248,랑더블유치과의원,8.9,서울특별시 종로구 삼봉로 57 5층 (수송동)
249,애플치과의원,8.9,"서울특별시 영등포구 국제금융로8길 19 315호 (여의도동, 중앙빌딩)"
250,관악이안치과의원,6.8,서울특별시 관악구 은천로 23 2층 (봉천동)
251,자곡서울치과,9.3,서울특별시 강남구 자곡로 114
252,서울미래치과의원,9.1,서울특별시 성북구 아리랑로 3 2층 (동소문동6가)
253,서울탑치과의원,9.0,서울 양천구 오목로 345 슬로우스퀘어 5층
254,김정환치과의원,8.9,서울특별시 중랑구 면목로 415 3층 (면목동)
255,미드미치과의원,9.1,서울특별시 중랑구 숙선옹주로 6-9
256,서울이안치과의원,8.8,서울특별시 마포구 월드컵북로 375
257,아름드리치과의원,9.1,서울 서초구 강남대로 487 4층
258,연세더순수치과의원,8.9,서울특별시 영등포구 문래로 87
259,풀잎치과,9.9,서울특별시 관악구 인헌길 17 3층
260,풀잎치과,9.9,서울특별시 관악구 인헌길 17 3층
261,원서울치과의원,8.8,"서울특별시 금천구 가산디지털1로 186 (가산동, 제이플라츠)"
262,연세허브치과의원,9.3,서울특별시 금천구 남부순환로 1372
263,서울덴치과의원,8.5,서울특별시 은평구 서오릉로 168 4층 (갈현동)
264,골드플러스치과의원,7.8,서울특별시 은평구 은평로 68 (신사동)
265,서울테라치과의원,9.2,서울특별시 송파구 송파대로 167
266,미르치과병원,9.3,전남 목포시 백년대로 319
267,정표진치과의원,8.0,서울특별시 성동구 왕십리로21길 10-1 (행당동)
268,닥터고치과의원,9.1,서울특별시 용산구 한강대로 293
269,애플치과의원,9.4,서울 서초구 서초대로52길 19 2층 애플치과
270,하상현치과의원,9.5,서울특별시 서초구 방배로 91
271,바르다정치과의원,9.3,서울특별시 영등포구 영신로9라길 16
272,디테일탑치과의원,8.0,"서울 은평구 통일로 876 4층, 5층, 6층, 7층"
273,닥터굿플란트치과의원,9.2,서울 은평구 연서로 137 영진빌딩 3층
274,이석민치과의원,8.1,"서울특별시 서초구 잠원로4길 34-4 2층 (잠원동, 거목상가)"
275,유디치과병원 강남뱅뱅점,6.5,서울특별시 서초구 강남대로 309
276,이일우치과의원,8.6,서울 서대문구 응암로 32 연희한양상가 203호
277,더감동치과의원,9.4,서울특별시 동대문구 답십리로 308 2층 3~4호 (장안동)
278,박희찬치과의원,8.7,"서울특별시 성동구 마장로42길 16 201호 (마장동, 세림아파트상가)"
279,밸런스치과병원,8.8,경기도 성남시 분당구 분당내곡로 117 알파돔타워Ⅳ
280,밸런스치과병원,8.8,경기도 성남시 분당구 분당내곡로 117 알파돔타워Ⅳ
281,광진탑치과의원,9.5,서울특별시 광진구 아차산로 471
282,미드미치과의원,9.0,"서울특별시 관악구 신림로 350 4층 (신림동, 서원프라자)"
283,아이콘치과의원,7.8,서울특별시 서초구 서초대로77길 13
284,서울H치과의원,9.5,"서울특별시 노원구 노해로 485 301호 (상계동, 금정빌딩)"
285,아이플란트치과의원,8.1,"서울특별시 중구 명동길 58 3층 (명동2가, 한송빌딩)"
286,성심치과의원,9.4,서울특별시 관악구 봉천로 615
287,구로성심치과의원,9.3,"서울특별시 구로구 중앙로 10-15 (고척동, 구로성심병원별관)"
288,서울좋은치과의원,8.9,서울특별시 성북구 정릉로 376
289,반듯한치과의원,9.0,서울특별시 영등포구 당산로 159 (당산동4가)
290,서울호치과의원,8.2,서울특별시 관악구 보라매로 4 2층 (봉천동)
291,다온미소치과의원,8.2,서울특별시 강서구 강서로16길 1
292,고운미소치과의원 관악,8.1,"서울특별시 관악구 관악로 165 3층 (봉천동, 홍빌딩)"
293,서울나무치과의원,7.4,서울 강남구 테헤란로 406 샹제리제센터 A동1층 B동 지하2층
294,서울사랑치과의원,9.6,서울 은평구 연서로 252
295,연세스마트치과의원,9.8,서울 동작구 상도로 69
296,서울이건치과의원,8.5,서울특별시 서초구 강남대로 429
297,가야치과병원,8.5,서울특별시 서초구 방배로 177 4~6층 (방배동)
298,연세봄치과의원,8.5,서울특별시 구로구 경인로 661
299,연세고운미소치과의원,9.0,"서울특별시 강동구 천호대로 1021 (천호동, 덕성빌딩)"
300,연세고운미소치과의원,9.0,"서울특별시 강동구 천호대로 1021 (천호동, 덕성빌딩)"
301,연세힐치과의원,9.2,"서울특별시 강서구 강서로 242 3층 309호 (화곡동, 강서힐스테이트상가)"
302,고은이(e)플란트치과의원,9.2,"서울특별시 마포구 백범로 202 2층 206~207호 (신공덕동, 마포KCC웰츠타워2층)"
303,굿모닝치과의원,8.4,서울특별시 광진구 아차산로34길 5-3 (자양동)
304,서울탑치과병원,9.2,서울특별시 서초구 서초중앙로 39 5층 (서초동)
305,서울e치과의원,8.3,서울특별시 구로구 천왕로 106 (오류동)
306,서울S플러스치과의원,9.0,서울특별시 성북구 아리랑로 3 2층 (동소문동6가)
307,이쎈치과의원,9.5,서울 강서구 공항대로 282 현웅빌딩
308,강북백상치과의원,9.4,서울 강북구 한천로 1083
309,크림치과의원,8.9,서울특별시 서초구 서초대로 411
310,연세바른치과의원,9.0,서울특별시 성북구 동소문로 97
311,구동준치과의원,8.2,서울특별시 강동구 동남로81길 100 2층 (고덕동)
312,서울리더스치과의원 석계점,9.2,"서울특별시 노원구 화랑로 337 2층 (월계동, 인현빌딩)"
313,서울니어치과의원,7.7,"서울특별시 서초구 강남대로 621 14층 (잠원동, K타워)"
314,삼육치과병원,8.5,서울특별시 동대문구 망우로 82
315,유디치과의원 사당점,8.3,서울특별시 관악구 남부순환로 2082-33 (남현동)
316,서울수치과의원,7.7,"서울특별시 강서구 강서로 43 501,502,503호 (화곡동)"
317,뉴서울치과의원,9.2,서울특별시 강남구 학동로 219 국제빌딩 3층
318,한일치과의원,9.4,서울특별시 금천구 시흥대로 406 2층 (독산동)
319,사과나무치과의원,7.6,서울 서초구 사임당로 175 갤럭시타워 2층
320,오름치과의원,8.7,서울 마포구 월드컵로 79
321,스카이플란트치과의원,9.3,서울특별시 서대문구 통일로 464 5층 (홍제동)
322,서울열린치과의원,9.3,서울특별시 도봉구 노해로63다길 25 지상3층 (창동)
323,연세마이덴치과의원,9.0,서울 종로구 종로5길 13 삼공빌딩 5층 연세마이덴치과
324,아트부부치과의원,9.6,서울 서초구 반포대로 38
325,백년치과의원,9.5,서울특별시 동대문구 장한로 129 3층 (장안동)
326,웰플란트치과의원,9.3,서울특별시 동작구 상도로 207
327,연세덴티프로치과의원,8.8,경기도 고양시 일산서구 중앙로 1426
328,가지런S치과의원,9.6,"서울특별시 강서구 화곡로 142 (화곡동, 메가박스)"
329,유디치과의원 마포점,8.4,서울특별시 마포구 마포대로 53
330,연치과의원 압구정점,9.1,서울특별시 강남구 논현로 867
331,서울네이처치과의원,9.4,서울특별시 성북구 동소문로 93 지상2층 (동소문동6가)
332,에스플란트치과병원,8.6,서울특별시 강남구 도산대로 410
333,허브치과의원,8.6,서울특별시 중구 세종대로 27
334,e스타치과의원,8.2,서울 서대문구 신촌로 79 성광빌딩 3층
335,테마가있는치과의원,8.8,서울특별시 성북구 화랑로 265 H 하우스 2층
336,바른정치과의원,9.2,서울특별시 마포구 월드컵북로6길 3 이노베이스 빌딩
337,예미안치과의원,8.5,서울특별시 서초구 서초대로 280 태양빌딩
338,콩세알튼튼치과의원,7.6,서울특별시 서초구 서초중앙로 42
339,종암연세휴치과의원,8.6,서울시 성북구 종암로 122 (종암동 3-686) 시원빌딩 3층
340,예샘궁치과의원,9.3,"서울특별시 서대문구 신촌역로 17 201호 (대현동, 현대캠퍼빌)"
